Transparent|透明
Sign|立て札
Pier (H)|桟橋（横）
Pier (V)|桟橋（縦）
Pond|池
Oasis|オアシス
Pond (Ice)|池（氷）
Beanstalk|豆の木
Tent|テント
Igloo|氷の家
Pyramid|ピラミッド
Giant Tree|大樹
Giant Tree (Snow)|大樹（雪）
Dirt|土砂
Avalanche|雪崩
Beanstalk|豆の木
Cave A|洞窟A
Cave B|洞窟B
Cave (Collapsed)|洞窟（土砂崩れ）
Mine|坑道
Tunnel|トンネル
Tunnel (Blocked)|トンネル（通行止め）
Shrine|ほこら
Shrine (Snow)|ほこら（雪）
Crater|クレーター
Trail|山道
Rock Mountain|岩山
Rock Mountain|岩山
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Snow)|岩山（雪）
Rock Mountain (Snow)|岩山（雪）
Volcano Crater (Lava)|火口（溶岩）
Volcano Crater (Lava)|火口（溶岩）
Rock Mountain|岩山
Rock Mountain|岩山
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Snow)|岩山（雪）
Rock Mountain (Snow)|岩山（雪）
Volcano Crater|火口
Volcano Crater|火口
Rock Mountain|岩山
Rock Mountain|岩山
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Snow)|岩山（雪）
Rock Mountain (Snow)|岩山（雪）
Volcano|火山
Volcano|火山
Rock Mountain|岩山
Rock Mountain|岩山
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Sandstone)|岩山（砂岩）
Rock Mountain (Snow)|岩山（雪）
Rock Mountain (Snow)|岩山（雪）
Town A|町A
Town A|町A
Town B|町B
Town B|町B
Village A|村A
Village A|村A
Village B|村B
House (Town)|家（町）
Town C|町C
Town D|町D
Village C|村C
Village D|村D
Town E (Desert)|町E（砂漠）
Town E (Desert)|町E（砂漠）
Town F (Desert)|町F（砂漠）
House (Village)|家（村）
Town A (Snow)|町A（雪）
Town A (Snow)|町A（雪）
Town B (Snow)|町B（雪）
Town B (Snow)|町B（雪）
Town G (Desert)|町G（砂漠）
Town G (Desert)|町G（砂漠）
Large Tent|大きなテント
House (Desert)|家（砂漠）
Town C (Snow)|町C（雪）
Town D (Snow)|町D（雪）
Village C (Snow)|村C（雪）
Village D (Snow)|村D（雪）
Village A (Snow)|村A（雪）
Village A (Snow)|村A（雪）
Village B (Snow)|村B（雪）
House (Snow)|家（雪）
Fortress City |城塞都市
Fortress City |城塞都市
Fortress City (Snow)|城塞都市（雪）
Fortress City (Snow)|城塞都市（雪）
Large Mansion|大きな屋敷
Large Mansion|大きな屋敷
School of Magic|魔法学校
School of Magic|魔法学校
Fortress City |城塞都市
Fortress City |城塞都市
Fortress City (Snow)|城塞都市（雪）
Fortress City (Snow)|城塞都市（雪）
Large Mansion|大きな屋敷
Large Mansion|大きな屋敷
School of Magic|魔法学校
School of Magic|魔法学校
Bridge (H)|橋（横）
Bridge (V)|橋（縦）
Collapsed Bridge (H)|崩れた橋（横）
Collapsed Bridge (V)|崩れた橋（縦）
Snow Bridge (H)|雪の橋（横）
Snow Bridge (V)|雪の橋（縦）
Collapsed Snow Bridge (H)|崩れた雪の橋（横）
Collapsed Snow Bridge (V)|崩れた雪の橋（縦）
Tower A|塔A
Tower A (Ruins)|塔A（廃墟）
Tower B|塔B
Tower C|塔C
Tower A (Snow)|塔A（雪）
Tower D|塔D
Temple A|神殿A
Temple A (Snow)|神殿A（雪）
Tower A|塔A
Tower A (Ruins)|塔A（廃墟）
Tower B|塔B
Tower C|塔C
Tower A (Snow)|塔A（雪）
Tower D (Ruins)|塔D（廃墟）
Temple B|神殿B
Temple C|神殿C
Castle A|城A
Castle A|城A
Castle B|城B
Castle B|城B
Fort A|砦A
Fort A|砦A
Fort B|砦B
Fort B|砦B
Castle A|城A
Castle A|城A
Castle B|城B
Castle B|城B
Fort A|砦A
Fort A|砦A
Fort B|砦B
Fort B|砦B
Castle C|城C
Castle C|城C
Castle D|城D
Castle D|城D
Castle (Ruins)|城（廃墟）
Castle (Ruins)|城（廃墟）
Fort (Ruins)|砦（廃墟）
Fort (Ruins)|砦（廃墟）
Castle C|城C
Castle C|城C
Castle D|城D
Castle D|城D
Castle (Ruins)|城（廃墟）
Castle (Ruins)|城（廃墟）
Fort (Ruins)|砦（廃墟）
