Darkness|暗闇
Translucent Floor A|半透明の床A
Translucent Floor B|半透明の床B
Translucent Floor C|半透明の床C
Translucent Floor D|半透明の床D
Stairs A (Translucent)|階段A（半透明）
Stairs B (Translucent)|階段B（半透明）
Wire Mesh|金網
Transparent|透明
Translucent Floor A|半透明の床A
Translucent Floor B|半透明の床B
Translucent Floor C|半透明の床C
Translucent Floor D|半透明の床D
Stairs A (Translucent)|階段C（半透明）
Stairs B (Translucent)|階段D（半透明）
Wire Mesh|金網
Ground A (Dirt Cave)|床A（土洞窟）
Ground B (Rock Cave)|床B（岩洞窟）
Ground C (Lava Cave)|床C（溶岩洞窟）
Ground D (Ice Cave)|床D（氷洞窟）
Ground E (Grass Maze)|床E（草迷宮）
Ground F (Crystal)|床F（水晶）
Ground G (In Body)|床G（体内）
Ground H (Demonic World)|床H（魔界）
Stairs A (Dirt Cave, Left)|階段A（土洞窟・左）
Stairs A (Dirt Cave, Center)|階段A（土洞窟・中央）
Stairs A (Dirt Cave, Right)|階段A（土洞窟・右）
Stairs A (Dirt Cave)|階段A（土洞窟）
Stairs B (Rock Cave, Left)|階段B（岩洞窟・左）
Stairs B (Rock Cave, Center)|階段B（岩洞窟・中央）
Stairs B (Rock Cave, Right)|階段B（岩洞窟・右）
Stairs B (Rock Cave)|階段B（岩洞窟）
Cobblestones A|石畳A
Cobblestones B|石畳B
Cobblestones C|石畳C
Cobblestones D|石畳D
Cobblestones E|石畳E
Cobblestones F|石畳F
Cobblestones G|石畳G
Interior Floor A (Demon Castle)|内装床A（魔王城）
Stairs C (Lava Cave, Left)|階段C（溶岩洞窟・左）
Stairs C (Lava Cave, Center)|階段C（溶岩洞窟・中央）
Stairs C (Lava Cave, Right)|階段C（溶岩洞窟・右）
Stairs C (Lava Cave)|階段C（溶岩洞窟）
Stairs D (Ice Cave, Left)|階段D（氷洞窟・左）
Stairs D (Ice Cave, Center)|階段D（氷洞窟・中央）
Stairs D (Ice Cave, Right)|階段D（氷洞窟・右）
Stairs D (Ice Cave)|階段D（氷洞窟）
Cobblestones H|石畳H
Interior Floor B (Concrete)|内装床B（コンクリート）
Icy Ground A|氷の床A
Interior Floor C (Factory)|内装床C（工場）
Decorative Tile|舗装床
Cobblestones I|石畳I
Cobblestones J|石畳J
Decorative Tile|化粧タイル
Stairs E (Grass Maze, Left)|階段E（草迷宮・左）
Stairs E (Grass Maze, Center)|階段E（草迷宮・中央）
Stairs E (Grass Maze, Right)|階段E（草迷宮・右）
Stairs E (Grass Maze)|階段E（草迷宮）
Stairs F (Crystal, Left)|階段F（水晶・左）
Stairs F (Crystal, Center)|階段F（水晶・中央）
Stairs F (Crystal, Right)|階段F（水晶・右）
Stairs F (Crystal)|階段F（水晶）
Stairs G (In Body, Left)|階段G（体内・左）
Stairs G (In Body, Center)|階段G（体内・中央）
Stairs G (In Body, Right)|階段G（体内・右）
Stairs G (In Body)|階段G（体内）
Stairs H (Demonic World, Left)|階段H（魔界・左）
Stairs H (Demonic World, Center)|階段H（魔界・中央）
Stairs H (Demonic World, Right)|階段H（魔界・右）
Stairs H (Demonic World)|階段H（魔界）
Stairs I (Stone, Left)|階段I（石・左）
Stairs I (Stone, Center)|階段I（石・中央）
