Wood Floor A|木の床A
Cobblestones A|石畳A
Rug A|じゅうたんA
Straw Mat|ござ
Hole A (Wood Floor)|穴A（木の床）
Raised Stone A|石段A
Ground Cracks|床のひび割れ
Table A|テーブルA
Wood Floor B|木の床B
Cobblestones B|石畳B
Rug B|じゅうたんB
Rug C|じゅうたんC
Hole B (Wood Floor)|穴B（木の床）
Raised Stone B|石段B
Soil on Ground|床の汚れ
Table B|テーブルB
Cobblestones C|石畳C
Cobblestones D|石畳D
Rug D|じゅうたんD
Demon Castle Floor|魔王城の床
Hole C (Stone Floor)|穴C（石の床）
Raised Stone C|石段C
Moss on Ground|床の苔
Table C|テーブルC
Cobblestones E|石畳E
Cobblestones F|石畳F
Rug E|じゅうたんE
Rug F|じゅうたんF
Hole D|穴D
Raised Stone D|石段D
Wire mesh|金網
Table D|テーブルD
