Darkness|暗闇
Wire Mesh|金網
Stone Bridge (V, Left)|石の橋（縦・左）
Stone Bridge (V Center)|石の橋（縦・中央）
Stone Bridge (V, Riight)|石の橋（縦・右）
Stone Bridge (H, Top)|石の橋（横・上）
Stone Bridge (H Center)|石の橋（横・中央）
Broken Bridge (H, Top)|壊れた橋（横・上）
Transparent|透明
Wire Mesh|金網
Broken Bridge (V, Left)|壊れた橋（縦・左）
Broken Bridge (V Center)|壊れた橋（縦・中央）
Broken Bridge (V, Riight)|壊れた橋（縦・右）
Stone Bridge (H, Bottom)|石の橋（横・下）
Broken Bridge (H Center)|壊れた橋（横・中央）
Broken Bridge (H, Bottom)|壊れた橋（横・下）
Wood Floor A|木の床A
Wood Floor B|木の床B
Wood Floor C|木の床C
Wood Floor D|木の床D
Cobblestones A|石畳A
Cobblestones B|石畳B
Cobblestones C|石畳C
Cobblestones D|石畳D
Ledge A (Wood)|段差A（木製）
Ledge B (Wood)|段差B（木製）
Ledge C (Log)|段差C（丸太）
Ledge D (Log)|段差D（丸太）
Ledge E (Brick)|段差E（レンガ）
Ledge F (Stone)|段差F（石）
Ledge G (Stone)|段差G（石）
Ledge H (Stone)|段差H（石）
Cobblestones E|石畳E
Cobblestones F|石畳F
Wood Floor E|木の床E
Wood Floor F|木の床F
Cobblestones G|石畳G
Cobblestones H|石畳H
Cobblestones I|石畳I
Cobblestones J|石畳J
Ledge I (Brick)|段差I（レンガ）
Ledge J (Castle)|段差J（城）
Ledge K (Fort)|段差K（砦）
Ledge L (Wood)|段差L（木製）
Ledge M (Stone)|段差M（石）
Ledge N (Stone)|段差N（石）
Ledge O (Marble)|段差O（大理石）
Ledge P (Stone)|段差P（石）
Interior Floor A (Wood)|内装床A（木製）
Interior Floor B (Brick)|内装床B（レンガ）
Interior Floor C (Temple)|内装床C（神殿）
Interior Floor D (Stone)|内装床D（石）
Interior Floor E (Demon Castle)|内装床E（魔王城）
Interior Floor F (Tent)|内装床F（テント）
Interior Floor G (Concrete)|内装床G（コンクリート）
Interior Floor H (Dirt)|内装床H（土）
Ledge Q (Wood)|段差Q（木製）
Ledge R (Desert)|段差R（砂漠風）
Ledge S (Temple)|段差S（神殿）
Ledge T (Stone)|段差T（石）
Ledge U (Demon Castle)|段差U（魔界城）
Ledge V (Tent)|段差V（テント）
Ledge W (Concrete)|段差W（コンクリート）
Ledge X (Dirt)|段差X（土）
Stairs A (Wood, Left)|階段A（木製・左）
Stairs A (Wood, Center)|階段A（木製・中央）
Stairs A (Wood)|階段A（木製・右）
Stairs A (Wood)|階段A（木製）
Stairs B (Stone, Left)|階段B（石・左）
Stairs B (Stone, Center)|階段B（石・中央）
Stairs B (Stone, Right)|階段B（石・右）
Stairs B (Stone)|階段B（石）
Stairs C (Stone, Left)|階段C（石・左）
Stairs C (Stone, Center)|階段C（石・中央）
Stairs C (Stone, Right)|階段C（石・右）
Stairs C (Stone)|階段C（石）
Stairs C (Stone, Ruins, Left)|階段C（石・廃墟・左）
Stairs C (Stone, Ruins, Center)|階段C（石・廃墟・中央）
Stairs C (Stone, Ruins, Right)|階段C（石・廃墟・右）
Stairs C (Stone, Ruins)|階段C（石・廃墟）
Stairs D (Carpet, Left)|階段D（じゅうたん・左）
Stairs D (Carpet, Center)|階段D（じゅうたん・中央）
Stairs D (Carpet, Right)|階段D（じゅうたん・右）
Stairs D (Carpet)|階段D（じゅうたん）
Stairs E (Carpet, Left)|階段E（じゅうたん・左）
Stairs E (Carpet, Center)|階段E（じゅうたん・中央）
Stairs E (Carpet, Right)|階段E（じゅうたん・右）
Stairs E (Carpet)|階段E（じゅうたん）
Wood Floor A (Ruins)|木の床A（廃墟）
Wood Floor B (Ruins)|木の床B（廃墟）
Wood Floor C (Ruins)|木の床C（廃墟）
Wood Floor D (Ruins)|木の床D（廃墟）
Cobblestones A (Ruins)|石畳A（廃墟）
Cobblestones B (Ruins)|石畳B（廃墟）
Cobblestones C (Ruins)|石畳C（廃墟）
