Transparent|透明
Shop Sign (Sword)|看板（剣）
Shop Sign (Sword & Shield)|看板（剣と盾）
Shop Sign (Armor)|看板（鎧）
Shop Sign (Sack)|看板（袋）
Shop Sign (Teapot)|看板（ポット）
Shop Sign (Inn)|看板（宿）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Eatery)|看板（食堂）
Shop Sign (Hexagram)|看板（魔法陣）
Shop Sign (Staves)|看板（杖）
Shop Sign (Coin)|看板（コイン）
Shop Sign (Necklace)|看板（ネックレス）
Shop Sign (Hammer)|看板（ハンマー）
Shop Sign (Crest)|看板（紋章）
Shop Sign (Blank)|看板（無地）
Log Bridge (V)|丸太の橋（縦）
Log Bridge (H)|丸太の橋（横）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Stone Bridge (V)|石の橋（縦）
Stone Bridge (H)|石の橋（横）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Bridge Spar (Wood, Center A)|橋げた（木・中央A）
Bridge Spar (Wood, Left)|橋げた（木・左）
Bridge Spar (Wood, Center B)|橋げた（木・中央B）
Bridge Spar (Wood, Right)|橋げた（木・右）
Bridge Spar (Stone, Center A)|橋げた（石・中央A）
Bridge Spar (Stone, Left)|橋げた（石・左）
Bridge Spar (Stone, Center B)||橋げた（石・中央B）
Bridge Spar (Stone, Right)|橋げた（石・右）
Window A|窓A
Window B|窓B
Window C|窓C
Window D|窓D
Middle Window A|中型窓A
Middle Window B|中型窓B
Middle Window C|中型窓C
Middle Window D|中型窓D
Window E|窓E
Window F|窓F
Window G|窓G
Stained Glass Window A|ステンドグラスA
Middle Window A|中型窓A
Middle Window E|中型窓E
Middle Window C|中型窓C
Middle Window D|中型窓D
Large Window A|大型窓A
Large Window B|大型窓B
Large Window C|大型窓C
Stained Glass Window B|ステンドグラスB
Large Window D|大型窓D
Middle Window F|中型窓F
Middle Window G|中型窓G
Middle Window H|中型窓H
Large Window A|大型窓A
Large Window E|大型窓E
Large Window C|大型窓C
Stained Glass Window B|ステンドグラスB
Large Window D|大型窓D
Middle Window F|中型窓F
Middle Window G|中型窓G
Middle Window H|中型窓H
Chimney A|煙突A
Mooring Bollard A|ビットA
Mooring Bollard B (Rope)|ビットB（ロープ）
Entrance A|入口A
Entrance A (Extend)|入口A（延長部分）
