Roof A (Metal)|屋根A（金属）
Roof B (Metal, Red Rust)|屋根B（金属・赤錆）
Roof C (Metal, Patina)|屋根C（金属・緑青錆）
Roof D (Barracks)|屋根D（バラック）
Roof E (Barracks)|屋根E（バラック）
Roof F (Factory)|屋根F（工場）
Roor G (Ivy)|屋根G（ツタ）
Roof H (House)|屋根H（現代住宅）
Outer Wall A (Metal)|外壁A（金属）
Outer Wall B (Metal, Red Rust)|外壁B（金属・赤錆）
Outer Wall C (Metal, Patina)|外壁C（金属・緑青錆）
Outer Wall D (Barracks)|外壁D（バラック）
Outer Wall E (Barracks)|外壁E（バラック）
Outer Wall F (Factory)|外壁F（工場）
Outer Wall G (Ivy)|外壁G（ツタ）
Outer Wall H (House)|外壁H（現代住宅）
Roof I (House)|屋根I（現代住宅）
Roof J (Brick)|屋根J（レンガ）
Roof K (Brick)|屋根K（レンガ）
Roof L (Chinese)|屋根L（中華風）
Roof M (Blue Sheet)|屋根M（ブルーシート）
Roof N (Wood)|屋根N（木造）
Roof O (Brick)|屋根O（レンガ）
Roof P (Wood)|屋根P（木造）
Outer Wall I (House)|外壁I（現代住宅）
Outer Wall J (Brick)|外壁J（レンガ）
Outer Wall K (Brick)|外壁K（レンガ）
Outer Wall L (Chinese)|外壁L（中華風）
Outer Wall M (Blue Sheet)|外壁M（ブルーシート）
Outer Wall N (Wood)|外壁N（木造）
Outer Wall O (Brick)|外壁O（レンガ）
Outer Wall P (Wood)|外壁P（木造）
